Player,MIN,PTS,TR,AS,TO
Justin Robinson,9.8,2.3,0.8,1,0.22
Mitchell Robinson,27.5,8.3,8.1,0.5,0.84
Isaiah Roby,23.4,8.7,5.6,1.8,1.85
Rajon Rondo,14.9,3.9,2,3.5,1.44
Rajon Rondo,20.4,7.6,3.1,5.8,2.22
Derrick Rose,22.8,14.2,1.9,4.2,1.93
Derrick Rose,26.8,14.9,2.9,4.2,1.4
Terrence Ross,29.3,15.6,3.4,2.4,1.59
Terry Rozier,34.5,20.4,4.4,4.2,1.87
Ricky Rubio,26.1,8.6,3.3,6.4,1.63
D'Angelo Russell,28.5,19,2.6,5.8,2.67
Domantas Sabonis,36,20.3,12,6.7,3.44
Luka Samanic,9.3,3.7,2.1,0.5,0.61
JaKarr Sampson,10.9,4.6,2.7,0.1,0.52
Dario Saric,17.4,8.7,3.8,1.3,1.14
Tomas Satoransky,22.5,7.7,2.4,4.7,1.66
Dennis Schroder,32.1,15.4,3.5,5.8,2.67
Mike Scott,16.7,4.2,2.4,0.8,0.37
Jay Scrubb,21.1,8.8,3.5,0.3,1.75
Collin Sexton,35.3,24.3,3.1,4.4,2.78
Landry Shamet,23,9.3,1.8,1.6,0.79
Iman Shumpert,5.5,1,0.5,0,0.5
Pascal Siakam,35.8,21.4,7.2,4.5,2.32
Chris Silva,7.5,2.7,2.3,0.5,0.82
Chris Silva,2.4,0.5,0.5,0,0.25
Ben Simmons,32.4,14.3,7.2,6.9,2.98
Anfernee Simons,17.3,7.8,2.2,1.4,0.67
Deividas Sirvydis,6.7,2.1,1.5,0.3,0.25
Alen Smailagic,5.6,1.9,1.1,0.3,0.33
Marcus Smart,32.9,13.1,3.5,5.7,2
Dennis Smith Jr.,9.2,3,0.7,1,0.33
Dennis Smith Jr.,19.6,7.3,2.7,3.7,1.25
Ish Smith,21,6.7,3.4,3.9,0.93
Jalen Smith,5.8,2,1.4,0.1,0.26
Tony Snell,21.1,5.3,2.4,1.3,0.45
Ray Spalding,9.4,2,2,0,1.5
Cassius Stanley,3.9,1.5,0.8,0,0.04
Lamar Stevens,12.5,4.1,2.4,0.6,0.58
Isaiah Stewart,21.4,7.9,6.7,0.9,0.99
Max Strus,13,6.1,1.1,0.6,0.21
Edmond Sumner,16.2,7.5,1.8,0.9,0.96
Jae'Sean Tate,29.2,11.3,5.3,2.5,1.41
Jayson Tatum,35.8,26.4,7.4,4.3,2.67
Jeff Teague,18.1,6.9,1.7,2.1,1.15
Jeff Teague,15.9,6.6,1.5,2.8,1.19
Garrett Temple,27.3,7.6,2.8,2.2,1.02
Tyrell Terry,5.1,1,0.5,0.5,0.18
Daniel Theis,24.5,9.5,5.2,1.6,0.98
Daniel Theis,24.9,10,5.9,1.8,1.09
Brodric Thomas,6.1,2.5,1,1,1
Brodric Thomas,13.4,4.1,1.8,0.9,0.64
Isaiah Thomas,16.1,7.7,1.3,1.7,2
Khyri Thomas,30.6,16.4,3.6,5,1.2
Matt Thomas,7.4,2.7,0.8,0.3,0.23
Matt Thomas,7.1,3.6,1.2,0.5,0.42
Tristan Thompson,23.8,7.6,8.1,1.2,1.15
Sindarius Thornwell,5.2,1.2,0.4,0.3,0.29
Sindarius Thornwell,20.5,3.4,1.9,2.4,0.43
Matisse Thybulle,20,3.9,1.9,1,0.49
Killian Tillie,10.1,3.2,1.3,0.4,0.11
Xavier Tillman,18.4,6.6,4.3,1.3,0.76
Anthony Tolliver,9,1.5,0.9,0.2,0.27
Obi Toppin,11,4.1,2.2,0.5,0.37
Juan Toscano-Anderson,20.9,5.7,4.4,2.8,1.17
Axel Toupane,7.7,1.8,0.8,0.5,0
Karl-Anthony Towns,33.8,24.8,10.6,4.5,3.2
Gary Trent Jr.,30.8,15,2.2,1.4,0.76
Gary Trent Jr.,31.8,16.2,3.6,1.3,0.71
P.J. Tucker,30,4.4,4.6,1.4,1.03
P.J. Tucker,19.8,2.6,2.8,0.8,0.35
Rayjon Tucker,4.9,2.4,0.8,0.4,0.29
Myles Turner,31,12.6,6.5,1,1.43
Jonas Valanciunas,28.3,17.1,12.5,1.8,1.61
Denzel Valentine,16.7,6.5,3.2,1.7,0.68
Jarred Vanderbilt,17.8,5.4,5.8,1.2,0.83
Fred VanVleet,36.5,19.6,4.2,6.3,1.83
Anderson Varejao,7.2,2.6,4,0.6,0.2
Devin Vassell,17,5.5,2.8,0.9,0.35
Gabe Vincent,13.1,4.8,1.1,1.3,0.68
Noah Vonleh,2.7,0,0.3,0.3,0.5
Nikola Vucevic,34.1,24.5,11.8,3.8,1.89
Nikola Vucevic,32.6,21.5,11.6,3.9,1.65
Dean Wade,19.2,6,3.4,1.2,0.48
Moritz Wagner,15,7.1,2.9,1.3,0.84
Moritz Wagner,6.8,1.2,2.1,0.7,1
Moritz Wagner,26,11,4.9,1.1,1.18
Lonnie Walker IV,25.4,11.2,2.6,1.7,1.08
Kemba Walker,31.8,19.3,4,4.9,2.05
John Wall,32.2,20.6,3.2,6.9,3.53
Brad Wanamaker,16,4.7,1.7,2.5,0.95
Brad Wanamaker,19.5,6.9,1.8,3.4,1.55
T.J. Warren,29.4,15.5,3.5,1.3,1
P.J. Washington,30.5,12.9,6.5,2.5,2
Yuta Watanabe,14.5,4.4,3.2,0.8,0.38
Tremont Waters,9.1,3.8,0.8,2.4,1.04
Paul Watson,11,4.1,1.7,0.6,0.33
Quinndary Weatherspoon,6.1,2.3,0.6,0.4,0.5
Russell Westbrook,36.4,22.2,11.5,11.7,4.8
Coby White,31.2,15.1,4.1,4.8,2.26
Derrick White,29.5,15.4,3,3.5,1.25
Hassan Whiteside,15.2,8.1,6,0.6,1.11
Greg Whittington,3,0,0,0,0
Andrew Wiggins,33.3,18.6,4.9,2.4,1.76
Robert Williams III,18.9,8,6.9,1.8,1
Grant Williams,18.1,4.7,2.8,1,0.89
Kenrich Williams,21.6,8,4.1,2.3,1.15
Lou Williams,21.9,12.1,2.1,3.4,1.57
Lou Williams,21.1,10,2.1,3.4,1.71
Zion Williamson,33.2,27,7.2,3.7,2.74
Patrick Williams,27.9,9.2,4.6,1.4,1.38
D.J. Wilson,8.7,3.6,2.1,0.3,0.33
D.J. Wilson,14.3,6.1,3.8,0.9,0.78
Dylan Windler,16.5,5.2,3.5,1.1,1.03
Justise Winslow,19.5,6.8,4.5,1.9,1.42
Cassius Winston,4.5,1.9,0.4,0.5,0.23
James Wiseman,21.4,11.5,5.8,0.7,1.54
Robert Woodard II,3.5,1.5,1.2,0.2,0.08
Christian Wood,32.3,21,9.6,1.7,1.95
Delon Wright,29.2,10.4,4.6,5,1.33
Delon Wright,25.8,10,3.9,3.6,1.3
Thaddeus Young,24.3,12.1,6.2,4.3,2
Trae Young,33.7,25.3,3.9,9.4,4.14
Cody Zeller,20.9,9.4,6.8,1.8,1.06
Ivica Zubac,22.3,9,7.2,1.3,1.13
