Player,MIN,PTS,TR,AS,TO
Brandon Clarke,24,10.3,5.6,1.6,0.56
Gary Clark,18.2,3.4,3.2,0.9,0.49
Gary Clark,2.1,0,0.5,0,0
Gary Clark,6.4,0,1,0.5,0
Jordan Clarkson,26.7,18.4,4,2.5,1.69
Nicolas Claxton,18.6,6.6,5.2,0.9,0.56
Amir Coffey,9,3.2,1,0.5,0.34
John Collins,29.3,17.6,7.4,1.2,1.33
Mike Conley,29.4,16.2,3.5,6,1.94
Pat Connaughton,22.8,6.8,4.8,1.2,0.48
Quinn Cook,3.9,2.1,0.3,0.3,0.19
Quinn Cook,13.6,6.1,1.7,1.9,0.57
Tyler Cook,4.2,0.5,0.5,0.5,0.25
Tyler Cook,15,5.5,3.4,0.5,0.75
DeMarcus Cousins,20.2,9.6,7.6,2.4,1.56
DeMarcus Cousins,12.9,7.8,4.5,1,1.56
Robert Covington,32,8.5,6.7,1.7,0.91
Torrey Craig,11.2,2.5,2.4,0.9,0.28
Torrey Craig,18.8,7.2,4.8,1,0.63
Jae Crowder,27.5,10.1,4.7,2.1,0.92
Jarrett Culver,14.7,5.3,3.1,0.7,0.82
Seth Curry,28.7,12.5,2.4,2.7,1.14
Stephen Curry,34.2,32,5.5,5.8,3.38
Nate Darling,3.7,1.3,0.1,0.1,0.14
Anthony Davis,32.3,21.8,7.9,3.1,2.06
Ed Davis,13,2.1,5,0.9,0.3
Terence Davis,14.5,6.9,1.9,1.1,0.85
Terence Davis,21.5,11.1,3.3,1.7,1.26
Gabriel Deck,21.2,8.4,4,2.4,0.6
Dewayne Dedmon,13.2,7.1,5.4,0.8,0.81
Matthew Dellavedova,17.2,2.8,1.8,4.5,0.46
DeMar DeRozan,33.7,21.6,4.2,6.9,1.95
Mamadi Diakite,10.1,3.1,2.4,0.6,0.21
Hamidou Diallo,23.8,11.9,5.2,2.4,1.53
Hamidou Diallo,23.3,11.2,5.4,1.2,1.35
Gorgui Dieng,16.9,7.9,4.5,1.3,1
Gorgui Dieng,11.3,5.3,2.6,1.2,0.63
Spencer Dinwiddie,21.4,6.7,4.3,3,1.67
Donte DiVincenzo,27.5,10.4,5.8,3.1,1.39
Luka Doncic,34.3,27.7,8,8.6,4.26
Luguentz Dort,29.7,14,3.6,1.7,1.52
Damyean Dotson,19.7,6.7,2,2,0.91
Devon Dotson,4.6,2.1,0.5,0.6,0
Sekou Doumbouya,15.5,5.1,2.6,0.8,0.79
PJ Dozier,21.8,7.7,3.6,1.8,0.94
Goran Dragic,26.7,13.4,3.3,4.4,2.38
Andre Drummond,28.9,17.5,13.5,2.6,3.24
Andre Drummond,24.8,11.9,10.2,1.4,2.05
Jared Dudley,6.7,0.5,1.8,0.4,0.17
Kris Dunn,11.4,1.3,1.5,0.5,0.75
Kevin Durant,33.1,26.9,7.1,5.6,3.43
Anthony Edwards,32.1,19.3,4.7,2.9,2.24
Carsen Edwards,8.9,4,0.8,0.5,0.23
CJ Elleby,6.4,2.3,1.1,0.3,0.17
Henry Ellenson,19.2,7.5,6,2.5,0
Wayne Ellington,22,9.6,1.8,1.5,0.72
Joel Embiid,31.1,28.5,10.5,2.8,3.12
James Ennis III,24.1,8.4,4,1.5,0.9
Drew Eubanks,14,5.8,4.5,0.8,0.83
Dante Exum,19.4,3.8,2.8,2.2,1.17
Tacko Fall,7.5,2.6,2.9,0.2,0.33
Derrick Favors,15.3,5.4,5.5,0.6,0.53
Cristiano Felicio,4.6,1.3,1.4,0.5,0.22
Terrance Ferguson,3.8,0.2,0.1,0.2,0.31
Bruno Fernando,6.8,1.5,2.4,0.3,0.64
Yogi Ferrell,20.3,9.5,3.5,2.5,1.5
Yogi Ferrell,12.1,4.6,1.5,2.1,0
Dorian Finney-Smith,32,9.8,5.4,1.7,0.8
Malik Fitts,3.6,1,1,0,0
Malachi Flynn,19.7,7.5,2.5,2.9,0.91
Bryn Forbes,19.3,10,1.6,0.6,0.63
Trent Forrest,10.1,2.9,1.5,1.5,0.7
Evan Fournier,30.3,19.7,2.9,3.7,2.08
Evan Fournier,29.5,13,3.3,3.1,1.19
De'Aaron Fox,35.1,25.2,3.5,7.2,3
Robert Franks,14.4,6.1,2,0.7,0.29
Tim Frazier,12.4,1.6,1.6,3.2,0.8
Markelle Fultz,26.9,12.9,3.1,5.4,2.25
Wenyen Gabriel,11.5,3.4,2.6,0.5,0.71
Daniel Gafford,12.4,4.7,3.3,0.5,0.71
Daniel Gafford,17.8,10.1,5.6,0.5,0.83
Danilo Gallinari,24,13.3,4.2,1.5,0.84
Langston Galloway,10.9,4.8,1.1,0.7,0.33
Darius Garland,33.1,17.4,2.4,6.1,3.04
Marc Gasol,19.1,5,4.1,2.1,1.02
Rudy Gay,21.5,11.4,4.8,1.4,1.03
Paul George,33.7,23.3,6.6,5.2,3.31
Taj Gibson,20.8,5.4,5.6,0.8,0.49
Harry Giles III,9.2,2.8,3.5,0.8,0.53
Shai Gilgeous-Alexander,33.7,23.7,4.7,5.9,3.03
Anthony Gill,8.4,3.1,2,0.4,0.31
Freddie Gillespie,19.6,5.6,4.9,0.5,0.6
Rudy Gobert,30.8,14.3,13.5,1.3,1.66
Brandon Goodwin,13.2,4.9,1.5,2,0.77
Aaron Gordon,29.4,14.6,6.6,4.2,2.68
Aaron Gordon,25.9,10.2,4.7,2.2,1.16
Eric Gordon,29.2,17.8,2.1,2.6,1.89
Devonte' Graham,30.2,14.8,2.7,5.4,1.53
Jerami Grant,33.9,22.3,4.6,2.8,2.02
Danny Green,28,9.5,3.8,1.7,0.96
Draymond Green,31.5,7,7.1,8.9,2.98
JaMychal Green,19.3,8.1,4.8,0.9,0.91
Javonte Green,13.8,4.2,2.1,0.4,0.52
Javonte Green,8,2.6,1.2,0.4,0.38
Jeff Green,27,11,3.9,1.6,0.79
Josh Green,11.4,2.6,2,0.7,0.44
Blake Griffin,31.3,12.3,5.2,3.9,1.6
Blake Griffin,21.5,10,4.7,2.4,1.15
Kyle Guy,7.6,2.8,1.1,1,0.35
Rui Hachimura,31.5,13.8,5.5,1.4,1.19
Ashton Hagans,2.1,0,0,0,0.5
Tyrese Haliburton,30.1,13,3,5.3,1.59
Donta Hall,13.8,5.6,4.8,0.8,0.62
Josh Hall,16,4.1,2.8,1.3,1.19
R.J. Hampton,9.3,2.6,2,0.6,0.44
R.J. Hampton,25.2,11.2,5,2.8,1.62
Tim Hardaway Jr.,28.4,16.6,3.3,1.8,0.91
James Harden,36.3,24.8,5.1,10.4,4.25
James Harden,36.6,24.6,8.6,10.9,3.97
Maurice Harkless,11.2,1.4,1.2,0.6,0.27
Maurice Harkless,24.9,6.9,3,1.4,0.77
Jared Harper,2,0.4,0.3,0.1,0.38
Montrezl Harrell,22.9,13.5,6.2,1.1,1.07
Gary Harris,30.6,9.7,2.5,1.7,0.74
Gary Harris,24.9,10.2,1.6,2.3,1.15
Jalen Harris,13.2,7.4,1.4,1.3,1.08
Joe Harris,31,14.1,3.6,1.9,0.9
Shaquille Harrison,3.3,1,0.5,0.5,0.29
Shaquille Harrison,16.3,3.3,2.3,0.9,0.35
Tobias Harris,32.5,19.5,6.8,3.5,1.73
Isaiah Hartenstein,9.1,3.5,2.8,0.5,0.7
Isaiah Hartenstein,17.9,8.3,6,2.5,1.44
Josh Hart,28.7,9.2,8,2.3,1.09
